Age,Annual_Income,Credit_Score,Loan_Amount,Existing_Loan,Employment_Years,Loan_Status
25,35000,620,120000,Yes,2,Rejected
30,55000,710,150000,No,5,Approved
45,90000,780,300000,No,15,Approved
28,42000,650,180000,Yes,3,Rejected
35,70000,730,200000,No,8,Approved
50,120000,810,500000,No,20,Approved
27,38000,640,160000,Yes,2,Rejected
40,85000,760,250000,No,12,Approved
32,60000,700,180000,No,6,Approved
29,45000,660,170000,Yes,4,Rejected
38,95000,790,350000,No,10,Approved
26,32000,610,100000,Yes,1,Rejected
41,80000,750,270000,No,13,Approved
33,58000,690,190000,No,7,Approved
47,110000,800,450000,No,18,Approved
24,30000,600,90000,Yes,1,Rejected
36,72000,735,210000,No,9,Approved
31,50000,680,175000,Yes,5,Rejected
44,98000,785,330000,No,14,Approved
39,87000,770,280000,No,11,Approved
34,62000,705,195000,No,7,Approved
28,41000,645,155000,Yes,3,Rejected
46,105000,795,400000,No,17,Approved
37,76000,740,230000,No,9,Approved
29,47000,670,165000,Yes,4,Rejected
42,92000,775,310000,No,15,Approved
27,36000,630,140000,Yes,2,Rejected
48,115000,805,480000,No,19,Approved
35,68000,720,205000,No,8,Approved
30,53000,695,185000,Yes,5,Rejected
